# GENERATED - drawn shell motion audit; nothing written to disk.
commit	029acac
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	551073
audit_ms	14343
shell_observations	9817361
links	8142970
terminal_links	1622072
terminal_links_rushed	71510
terminal_links_rushed_timed	16056
terminal_links_static	54816
terminal_links_instant	638
hover_links	3995
rush_links	4219
rush_links_timed	4219
links_static	0
links_instant	0
seam_jumps	119
pop_outs	52133
pop_ins	40859
pops_paired_forward	5090
pops_paired_backwards	3116
seam_jump_max	3.16
link_speed:0.0-0.5	1222
link_speed:0.5-1.0	2773
link_speed:1.0-1.5	19205
link_speed:1.5-1.8	151482
link_speed:1.8-2.2	7845588
link_speed:2.2-2.5	102938
link_speed:2.5-3.0	15486
link_speed:3.0+	4276
rate_links_steady	0.963480
rate_hover_links	0.000491
rate_rush_links	0.000518
rate_pop_outs	0.005310
rate_backwards_pops	0.000317
content_hash	5c4f946de59679ea6a13453910e622220ad1c387314e37f655922d0c590d90a0
