# GENERATED - drawn shell motion audit; nothing written to disk.
commit	0bfd71d
input	sha256:9e4933bba5250c6852e6dd1265ed0c35cd98195d6ebfd5623e6b6b91c978fd3b
files	443
files_failed	0
build_ms	388841
audit_ms	5736
shell_observations	9817361
links	8163583
terminal_links	1621638
terminal_links_rushed	69287
hover_links	3563
rush_links	7433
seam_jumps	0
pop_outs	31954
pop_ins	31130
pops_paired_forward	3230
pops_paired_backwards	1366
seam_jump_max	0.00
link_speed:0.0-0.5	656
link_speed:0.5-1.0	2907
link_speed:1.0-1.5	19155
link_speed:1.5-1.8	150915
link_speed:1.8-2.2	7891276
link_speed:2.2-2.5	80711
link_speed:2.5-3.0	10509
link_speed:3.0+	7454
rate_links_steady	0.966644
rate_hover_links	0.000436
rate_rush_links	0.000911
rate_pop_outs	0.003255
rate_backwards_pops	0.000139
content_hash	6e20ab36506f3dd3f8bb22d61231a04a7a451b1e8fb9ffd1fa9009e555055a4f
