032201~1f37a2: 46922 records, 45.4 min, game type 3, 5 names
032301~0c02c7: 32267 records, 25.0 min, game type 3, 4 names
032301~932b88: 26646 records, 28.0 min, game type 3, 4 names
032401~ddc5a3: 11245 records, 14.5 min, game type 3, 4 names
032601~b9e33d: 53882 records, 25.5 min, game type 3, 4 names
033101.1~a3293e: 33677 records, 25.7 min, game type 3, 5 names
040201~9631f5: 19177 records, 15.3 min, game type 3, 4 names
040301~b0a93e: 27410 records, 28.2 min, game type 3, 4 names
040301~d7ef0d: 31317 records, 26.2 min, game type 3, 4 names
040501~c5c79d: 43949 records, 29.0 min, game type 3, 2 names
040501.1~ffe1f6: 87350 records, 50.9 min, game type 3, 2 names
040601~238f45: 33274 records, 33.9 min, game type 3, 4 names
040601.1~864166: 95383 records, 72.9 min, game type 3, 6 names
040601.2~c78dbc: 15180 records, 8.3 min, game type 3, 2 names
040601.3~369626: 88757 records, 56.1 min, game type 3, 2 names
040601.4~e9a1e1: 10603 records, 7.1 min, game type 3, 2 names
040601.5~643233: 10644 records, 10.8 min, game type 3, 5 names
040601.6~1e7e96: 70106 records, 40.9 min, game type 3, 2 names
040601.7~5d91c8: 76287 records, 40.7 min, game type 3, 2 names
040701~c1a519: 18684 records, 17.4 min, game type 3, 4 names
041001~3e991c: 7170 records, 7.6 min, game type 3, 5 names
041001.1~197b9a: 5951 records, 7.5 min, game type 3, 4 names
041101.1~7d981f: 15259 records, 8.1 min, game type 3, 6 names
041101~c1942e: 18145 records, 12.1 min, game type 3, 6 names
041201~e16d9d: 16361 records, 18.8 min, game type 3, 4 names
041201.1~6586dd: 96469 records, 25.5 min, game type 3, 6 names
041301~aa7632: 45072 records, 30.6 min, game type 3, 4 names
041601~13e64b: 69987 records, 36.4 min, game type 3, 4 names
041601.1~ba52db: 52607 records, 24.7 min, game type 3, 5 names
041601.2~87e7ac: 16408 records, 9.2 min, game type 3, 4 names
041601.3~ee782a: 61081 records, 32.9 min, game type 3, 4 names
041701~fe7c6d: 14637 records, 13.2 min, game type 3, 4 names
041801~650934: 87463 records, 42.5 min, game type 3, 5 names
041801.1~f004a2: 25233 records, 21.8 min, game type 3, 4 names
