# GENERATED - drawn shell motion audit; nothing written to disk.
commit	1f70a58
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	324624
audit_ms	5918
shell_observations	9817361
links	8163392
terminal_links	1624161
terminal_links_rushed	69397
terminal_links_rushed_timed	13116
terminal_links_static	55429
terminal_links_instant	852
hover_links	3277
rush_links	7437
rush_links_timed	1496
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	29622
pop_ins	27771
pops_paired_forward	3047
pops_paired_backwards	1228
seam_jump_max	0.00
link_speed:0.0-0.5	571
link_speed:0.5-1.0	2706
link_speed:1.0-1.5	18864
link_speed:1.5-1.8	150654
link_speed:1.8-2.2	7891490
link_speed:2.2-2.5	81052
link_speed:2.5-3.0	10597
link_speed:3.0+	7458
rate_links_steady	0.966693
rate_hover_links	0.000401
rate_rush_links	0.000911
rate_pop_outs	0.003017
rate_backwards_pops	0.000125
content_hash	ac53993fab065ccc6b5fc0e635492ff19ffa960a83acaee9bc0b980680b0b884
