# GENERATED - drawn shell motion audit; nothing written to disk.
commit	364174f
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	353833
audit_ms	9872
shell_observations	9817361
links	8165087
terminal_links	1633385
terminal_links_rushed	69695
terminal_links_rushed_timed	13230
terminal_links_static	55605
terminal_links_instant	860
hover_links	4544
rush_links	7321
rush_links_timed	1379
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	18703
pop_ins	21613
pops_paired_forward	1948
pops_paired_backwards	801
links_stalled	19619
links_stalled_steady	12691
links_stalled_steady_by_cadence	509
hover_links_stalled	1605
links_after_stall	19486
links_after_stall_steady	16698
rush_links_after_stall	47
hover_links_after_stall	271
seam_jump_max	0.00
link_speed:0.0-0.5	1341
link_speed:0.5-1.0	3203
link_speed:1.0-1.5	20339
link_speed:1.5-1.8	150973
link_speed:1.8-2.2	7894522
link_speed:2.2-2.5	77865
link_speed:2.5-3.0	9503
link_speed:3.0+	7341
rate_links_steady	0.966863
rate_links_steady_unstalled	0.967634
rate_hover_links	0.000557
rate_hover_links_unstalled	0.000361
rate_rush_links	0.000897
rate_rush_links_unstalled	0.000893
rate_pop_outs	0.001905
rate_backwards_pops	0.000082
content_hash	e9b695b186b770d6b5a78010ed3c0d4ffcd2269379f8cf740e80d0fd4b015378
