# GENERATED - drawn shell motion audit; nothing written to disk.
commit	b1659e9
input	../../__DOCS/Bolo Archives/Nemokrad's Bolo logs
files	443
files_failed	0
build_ms	334012
audit_ms	5743
shell_observations	9817361
links	8149544
terminal_links	1621758
terminal_links_rushed	68496
hover_links	3396
rush_links	4727
seam_jumps	0
pop_outs	45873
pop_ins	37132
pops_paired_forward	4654
pops_paired_backwards	2922
seam_jump_max	0.00
link_speed:0.0-0.5	538
link_speed:0.5-1.0	2858
link_speed:1.0-1.5	22165
link_speed:1.5-1.8	155335
link_speed:1.8-2.2	7836483
link_speed:2.2-2.5	107931
link_speed:2.5-3.0	19463
link_speed:3.0+	4771
rate_links_steady	0.961585
rate_hover_links	0.000417
rate_rush_links	0.000580
rate_pop_outs	0.004673
rate_backwards_pops	0.000298
content_hash	1bf00a9ce6cdfa330aa39235cb9dcf5607e33e4c2a9f0a2013196fd03f762e64
