# GENERATED - drawn shell motion audit; nothing written to disk.
commit	43efbbb
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	380590
audit_ms	10568
shell_observations	9817361
links	8167267
terminal_links	1633767
terminal_links_rushed	69840
terminal_links_rushed_timed	13560
terminal_links_static	55435
terminal_links_instant	845
hover_links	4503
rush_links	8719
rush_links_timed	2697
links_static	6018
links_instant	4
seam_jumps	0
pop_outs	16141
pop_ins	19452
pops_paired_forward	1369
pops_paired_backwards	791
links_stalled	19640
links_stalled_steady	12678
links_stalled_steady_by_cadence	504
hover_links_stalled	1603
links_after_stall	19489
links_after_stall_steady	16701
rush_links_after_stall	47
hover_links_after_stall	270
seam_jump_max	0.00
link_speed:0.0-0.5	1341
link_speed:0.5-1.0	3162
link_speed:1.0-1.5	20751
link_speed:1.5-1.8	152659
link_speed:1.8-2.2	7883111
link_speed:2.2-2.5	78024
link_speed:2.5-3.0	19480
link_speed:3.0+	8739
rate_links_steady	0.965208
rate_links_steady_unstalled	0.965979
rate_hover_links	0.000551
rate_hover_links_unstalled	0.000356
rate_rush_links	0.001068
rate_rush_links_unstalled	0.001064
rate_pop_outs	0.001644
rate_backwards_pops	0.000081
content_hash	7485a019c1347790cb79de7e8ebba80e329bc735ea6c725343d80abf6d52d11f
