# GENERATED - drawn shell motion audit; nothing written to disk.
commit	537cb6d
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	525624
audit_ms	13464
shell_observations	9817361
links	8144638
terminal_links	1621899
terminal_links_rushed	71552
terminal_links_rushed_timed	16103
terminal_links_static	54809
terminal_links_instant	640
hover_links	3894
rush_links	4149
rush_links_timed	4149
links_static	0
links_instant	0
seam_jumps	53
pop_outs	50638
pop_ins	40927
pops_paired_forward	5092
pops_paired_backwards	3134
seam_jump_max	2.83
link_speed:0.0-0.5	1172
link_speed:0.5-1.0	2722
link_speed:1.0-1.5	18926
link_speed:1.5-1.8	150349
link_speed:1.8-2.2	7854938
link_speed:2.2-2.5	97220
link_speed:2.5-3.0	15105
link_speed:3.0+	4206
rate_links_steady	0.964431
rate_hover_links	0.000478
rate_rush_links	0.000509
rate_pop_outs	0.005158
rate_backwards_pops	0.000319
content_hash	0ec4567800fd74a32bfaf68c698fab821ce32880b9f7e0dddf4b324bc03fc73f
