# GENERATED - drawn shell motion audit; nothing written to disk.
commit	716a349
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	542559
audit_ms	12865
shell_observations	9817361
links	8149884
terminal_links	1621739
terminal_links_rushed	68478
terminal_links_rushed_timed	12544
terminal_links_static	55301
terminal_links_instant	633
hover_links	3446
rush_links	4511
rush_links_timed	4511
links_static	0
links_instant	0
seam_jumps	0
pop_outs	45552
pop_ins	37409
pops_paired_forward	4665
pops_paired_backwards	2925
seam_jump_max	0.00
link_speed:0.0-0.5	554
link_speed:0.5-1.0	2892
link_speed:1.0-1.5	22016
link_speed:1.5-1.8	156818
link_speed:1.8-2.2	7835265
link_speed:2.2-2.5	108374
link_speed:2.5-3.0	19409
link_speed:3.0+	4556
rate_links_steady	0.961396
rate_hover_links	0.000423
rate_rush_links	0.000554
rate_pop_outs	0.004640
rate_backwards_pops	0.000298
content_hash	4cf309266fa4e7bcf5f0487d6f07e6eb1e584099a2581c8c014016afe265d6aa
