# GENERATED - drawn shell motion audit; nothing written to disk.
commit	61e39e1
input	sha256:9e4933bba5250c6852e6dd1265ed0c35cd98195d6ebfd5623e6b6b91c978fd3b
files	443
files_failed	0
build_ms	327664
audit_ms	6006
shell_observations	9817361
links	8149884
terminal_links	1621739
terminal_links_rushed	68478
hover_links	3446
rush_links	4511
seam_jumps	0
pop_outs	45552
pop_ins	37409
pops_paired_forward	4665
pops_paired_backwards	2925
seam_jump_max	0.00
link_speed:0.0-0.5	554
link_speed:0.5-1.0	2892
link_speed:1.0-1.5	22016
link_speed:1.5-1.8	156818
link_speed:1.8-2.2	7835265
link_speed:2.2-2.5	108374
link_speed:2.5-3.0	19409
link_speed:3.0+	4556
rate_links_steady	0.961396
rate_hover_links	0.000423
rate_rush_links	0.000554
rate_pop_outs	0.004640
rate_backwards_pops	0.000298
content_hash	9b20028ddda5bf8747cf6ea301984f5a65e33d37528a8a9ad90030ec7a4f8d57
