# GENERATED - drawn shell motion audit; nothing written to disk.
commit	7c99ab5
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	430633
audit_ms	12205
shell_observations	9817361
links	8167872
terminal_links	1633860
terminal_links_rushed	69831
terminal_links_rushed_timed	13565
terminal_links_static	55425
terminal_links_instant	841
hover_links	4546
rush_links	8041
rush_links_timed	2017
links_static	6021
links_instant	3
seam_jumps	0
pop_outs	15443
pop_ins	18868
pops_paired_forward	1262
pops_paired_backwards	633
links_stalled	19671
links_stalled_steady	12673
links_stalled_steady_by_cadence	495
hover_links_stalled	1600
links_after_stall	19508
links_after_stall_steady	16730
rush_links_after_stall	47
hover_links_after_stall	265
seam_jump_max	0.00
link_speed:0.0-0.5	1357
link_speed:0.5-1.0	3189
link_speed:1.0-1.5	21705
link_speed:1.5-1.8	166245
link_speed:1.8-2.2	7887340
link_speed:2.2-2.5	62425
link_speed:2.5-3.0	17554
link_speed:3.0+	8057
rate_links_steady	0.965654
rate_links_steady_unstalled	0.966430
rate_hover_links	0.000557
rate_hover_links_unstalled	0.000362
rate_rush_links	0.000984
rate_rush_links_unstalled	0.000981
rate_pop_outs	0.001573
rate_backwards_pops	0.000064
content_hash	f277fb75718577172f36799f0e045deb23f5f7e8fd7e7b30f2dd2cb6544c964e
