20010322~5657a5: 46922 records, 1045 hits
20010323~9ab1d3: 26646 records, 685 hits
20010323~ed141a: 32267 records, 787 hits
20010324~8485df: 11245 records, 416 hits
20010326~fc6a01: 53882 records, 575 hits
20010331.1~955a12: 33677 records, 583 hits
20010402~7870fb: 19177 records, 494 hits
20010403~842137: 27410 records, 698 hits
20010403~78facc: 31317 records, 740 hits
20010405~34ffbe: 43949 records, 275 hits
20010405.1~1eba2b: 87350 records, 604 hits
20010406~8823f1: 33274 records, 580 hits
20010406.1~b6fbb9: 95383 records, 2287 hits
20010406.2~defc81: 15180 records, 113 hits
20010406.3~a043dd: 88757 records, 553 hits
20010406.4~caf73b: 10603 records, 72 hits
20010406.5~ef83a5: 10644 records, 374 hits
20010406.6~eb3cc1: 70106 records, 478 hits
20010406.7~efda67: 76287 records, 540 hits
20010407~949414: 18684 records, 384 hits
20010410~1770d2: 7170 records, 202 hits
20010410.1~6076f9: 5951 records, 144 hits
20010411~8093eb: 18145 records, 429 hits
20010411.1~94a140: 15259 records, 326 hits
20010412~5bc8e2: 16361 records, 374 hits
20010412.1~c4b988: 96469 records, 1092 hits
20010413~0cda83: 45072 records, 839 hits
20010416~82d2e5: 69987 records, 1079 hits
20010416.1~21c1bd: 52607 records, 496 hits
20010416.2~34e0fa: 16408 records, 256 hits
20010416.3~b9c34d: 61081 records, 1088 hits
20010417~c7467f: 14637 records, 375 hits
20010418~6c2b20: 87463 records, 1493 hits
20010418.1~8f32e4: 25233 records, 726 hits
20010418.2~7113eb: 5742 records, 52 hits
20010420~8b4c07: 29393 records, 1111 hits
20010421~7f892b: 4832 records, 120 hits
20010424~0c0f47: 31716 records, 360 hits
20010424.1~cf8a10: 10601 records, 132 hits
20010424.2~21b482: 36948 records, 462 hits
20010425~678a0f: 19223 records, 260 hits
20010425.1~7802ec: 25658 records, 422 hits
20010425.2~8f1bec: 13237 records, 462 hits
20010425.3~038166: 28456 records, 1072 hits
20010425.4~46f632: 27768 records, 647 hits
20010426~b74a78: 24788 records, 205 hits
20010429~79f5c7: 97144 records, 582 hits
20010503.2~8f5233: 57569 records, 416 hits
20010504~e94835: 24572 records, 647 hits
20010504.1~ff7431: 5588 records, 201 hits
20010504.10~8329af: 11741 records, 329 hits
20010504.11~382cce: 21411 records, 372 hits
20010504.12~75f949: 27609 records, 506 hits
20010504.2~cf751a: 5362 records, 151 hits
20010504.3~dcf845: 9479 records, 401 hits
20010504.4~231746: 22917 records, 615 hits
20010504.5~f7d615: 16707 records, 395 hits
20010504.6~a268bf: 14670 records, 251 hits
20010504.7~c67325: 33881 records, 553 hits
20010504.8~10556b: 20542 records, 356 hits
20010504.9~865982: 37787 records, 679 hits
20010507~6e4b75: 34494 records, 387 hits
20010507.1~a601ef: 53896 records, 403 hits
20010507.2~a943c8: 74843 records, 1866 hits
20010509~879826: 18375 records, 297 hits
20010516~644aec: 29052 records, 370 hits
20010521~7a7eb8: 69590 records, 1997 hits
20010521.1~6d82c7: 20375 records, 353 hits
20010521.2~213a0f: 17223 records, 779 hits
20010521.3~38cded: 13564 records, 233 hits
20010522.1~a5ba6e: 41835 records, 720 hits
20010524~f0ff79: 32504 records, 495 hits
20010524.1~0c93c7: 43757 records, 689 hits
20010524.2~7ccea8: 66221 records, 1116 hits
20010524.3~1800b2: 51230 records, 734 hits
