# GENERATED - drawn shell motion audit; nothing written to disk.
commit	800f57c
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	414032
audit_ms	13802
shell_observations	9817361
links	8164973
terminal_links	1629905
terminal_links_rushed	69692
terminal_links_rushed_timed	13212
terminal_links_static	55617
terminal_links_instant	863
hover_links	4566
rush_links	7365
rush_links_timed	1423
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	22297
pop_ins	21738
pops_paired_forward	1982
pops_paired_backwards	854
links_stalled	19564
links_stalled_steady	12636
links_stalled_steady_by_cadence	522
hover_links_stalled	1620
links_after_stall	19448
links_after_stall_steady	16597
rush_links_after_stall	48
hover_links_after_stall	272
seam_jump_max	0.00
link_speed:0.0-0.5	1344
link_speed:0.5-1.0	3222
link_speed:1.0-1.5	20293
link_speed:1.5-1.8	151254
link_speed:1.8-2.2	7892582
link_speed:2.2-2.5	78988
link_speed:2.5-3.0	9905
link_speed:3.0+	7385
rate_links_steady	0.966639
rate_links_steady_unstalled	0.967409
rate_hover_links	0.000559
rate_hover_links_unstalled	0.000362
rate_rush_links	0.000902
rate_rush_links_unstalled	0.000898
rate_pop_outs	0.002271
rate_backwards_pops	0.000087
content_hash	43f973a8075a13aa793d8ab25972a29497b39a64c63b95a3dc9378668b46aa66
