# GENERATED - drawn shell motion audit; nothing written to disk.
commit	800f57c
input	sha256:70232047e6a1d5a2ec7528b50f23c035a66d28d1ccdcb8c2077f759569fed231
files	20
files_failed	0
build_ms	15614
audit_ms	685
shell_observations	259723
links	204097
terminal_links	54869
terminal_links_rushed	1700
terminal_links_rushed_timed	81
terminal_links_static	1615
terminal_links_instant	4
hover_links	171
rush_links	13
rush_links_timed	13
links_static	0
links_instant	0
seam_jumps	0
pop_outs	723
pop_ins	633
pops_paired_forward	60
pops_paired_backwards	29
links_stalled	731
links_stalled_steady	439
links_stalled_steady_by_cadence	20
hover_links_stalled	98
links_after_stall	778
links_after_stall_steady	665
rush_links_after_stall	1
hover_links_after_stall	12
seam_jump_max	0.00
link_speed:0.0-0.5	102
link_speed:0.5-1.0	69
link_speed:1.0-1.5	661
link_speed:1.5-1.8	4352
link_speed:1.8-2.2	196182
link_speed:2.2-2.5	2454
link_speed:2.5-3.0	264
link_speed:3.0+	13
rate_links_steady	0.961219
rate_links_steady_unstalled	0.962516
rate_hover_links	0.000838
rate_hover_links_unstalled	0.000359
rate_rush_links	0.000064
rate_rush_links_unstalled	0.000059
rate_pop_outs	0.002784
rate_backwards_pops	0.000112
content_hash	7da79a4d149ef5d4512e0b4d63bfc0004c57bf43e68d4720a9d9f8547ecd13d1
