# GENERATED - drawn shell motion audit; nothing written to disk.
commit	810ef2c
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	350831
audit_ms	6950
shell_observations	9817361
links	8163171
terminal_links	1625669
terminal_links_rushed	69446
terminal_links_rushed_timed	13154
terminal_links_static	55425
terminal_links_instant	867
hover_links	2446
rush_links	7481
rush_links_timed	1540
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	28335
pop_ins	26823
pops_paired_forward	3058
pops_paired_backwards	1236
seam_jump_max	0.00
link_speed:0.0-0.5	341
link_speed:0.5-1.0	2105
link_speed:1.0-1.5	18151
link_speed:1.5-1.8	150883
link_speed:1.8-2.2	7892229
link_speed:2.2-2.5	81180
link_speed:2.5-3.0	10781
link_speed:3.0+	7501
rate_links_steady	0.966809
rate_hover_links	0.000300
rate_rush_links	0.000916
rate_pop_outs	0.002886
rate_backwards_pops	0.000126
content_hash	bc0ac29ab2c7dd0fc8f85d1c0ca306c656e2328365abe5b831b99a944477bd5c
