# GENERATED - drawn shell motion audit; nothing written to disk.
commit	8741bb6
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	353697
audit_ms	9563
shell_observations	9817361
links	8164781
terminal_links	1628960
terminal_links_rushed	69653
terminal_links_rushed_timed	13206
terminal_links_static	55578
terminal_links_instant	869
hover_links	4824
rush_links	7473
rush_links_timed	1531
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	23434
pop_ins	22846
pops_paired_forward	2074
pops_paired_backwards	856
links_stalled	19582
links_stalled_steady	11742
links_stalled_steady_by_cadence	545
hover_links_stalled	1766
seam_jump_max	0.00
link_speed:0.0-0.5	1375
link_speed:0.5-1.0	3449
link_speed:1.0-1.5	22292
link_speed:1.5-1.8	153482
link_speed:1.8-2.2	7885065
link_speed:2.2-2.5	80832
link_speed:2.5-3.0	10793
link_speed:3.0+	7493
rate_links_steady	0.965741
rate_links_steady_unstalled	0.966621
rate_hover_links	0.000591
rate_hover_links_unstalled	0.000375
rate_rush_links	0.000915
rate_pop_outs	0.002387
rate_backwards_pops	0.000087
content_hash	45e8d10e3b01294b138e5d390907e55b790a273ad430976a603f47fc548ac6d7
