# GENERATED - drawn shell motion audit; nothing written to disk.
commit	90925b0
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	363737
audit_ms	13560
shell_observations	9817361
links	8141461
terminal_links	1614293
terminal_links_rushed	69384
terminal_links_rushed_timed	14077
terminal_links_static	54680
terminal_links_instant	627
hover_links	4163
rush_links	3995
rush_links_timed	3995
links_static	0
links_instant	0
seam_jumps	129
pop_outs	61421
pop_ins	59352
pops_paired_forward	9292
pops_paired_backwards	5792
seam_jump_max	3.16
link_speed:0.0-0.5	1267
link_speed:0.5-1.0	2896
link_speed:1.0-1.5	19131
link_speed:1.5-1.8	151342
link_speed:1.8-2.2	7844942
link_speed:2.2-2.5	102514
link_speed:2.5-3.0	15314
link_speed:3.0+	4055
rate_links_steady	0.963579
rate_hover_links	0.000511
rate_rush_links	0.000491
rate_pop_outs	0.006256
rate_backwards_pops	0.000590
content_hash	61f354e4d4e4ee06d7d041adfc1b87083e538b30366c8045cbf248b0eeac7dad
