# GENERATED - drawn shell motion audit; nothing written to disk.
commit	9115ab4
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	326829
audit_ms	6297
shell_observations	9817361
links	8163430
terminal_links	1625632
terminal_links_rushed	69415
terminal_links_rushed_timed	13132
terminal_links_static	55430
terminal_links_instant	853
hover_links	3093
rush_links	7480
rush_links_timed	1539
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	28113
pop_ins	26575
pops_paired_forward	2972
pops_paired_backwards	1169
seam_jump_max	0.00
link_speed:0.0-0.5	446
link_speed:0.5-1.0	2647
link_speed:1.0-1.5	18527
link_speed:1.5-1.8	150625
link_speed:1.8-2.2	7891812
link_speed:2.2-2.5	81107
link_speed:2.5-3.0	10765
link_speed:3.0+	7501
rate_links_steady	0.966727
rate_hover_links	0.000379
rate_rush_links	0.000916
rate_pop_outs	0.002864
rate_backwards_pops	0.000119
content_hash	9a21baca5f51077c0ff93a35fb12a8790ad724e18e3984d5b4fd16eb1d5693a8
