# GENERATED - drawn shell motion audit; nothing written to disk.
commit	91b9174
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	368609
audit_ms	10056
shell_observations	9817361
links	8167872
terminal_links	1633860
terminal_links_rushed	69831
terminal_links_rushed_timed	13565
terminal_links_static	55425
terminal_links_instant	841
hover_links	4478
rush_links	8735
rush_links_timed	2711
links_static	6020
links_instant	4
seam_jumps	0
pop_outs	15443
pop_ins	18868
pops_paired_forward	1260
pops_paired_backwards	635
links_stalled	19671
links_stalled_steady	12693
links_stalled_steady_by_cadence	494
hover_links_stalled	1590
links_after_stall	19508
links_after_stall_steady	16730
rush_links_after_stall	47
hover_links_after_stall	263
seam_jump_max	0.00
link_speed:0.0-0.5	1349
link_speed:0.5-1.0	3129
link_speed:1.0-1.5	20876
link_speed:1.5-1.8	153301
link_speed:1.8-2.2	7882992
link_speed:2.2-2.5	77924
link_speed:2.5-3.0	19546
link_speed:3.0+	8755
rate_links_steady	0.965122
rate_links_steady_unstalled	0.965894
rate_hover_links	0.000548
rate_hover_links_unstalled	0.000354
rate_rush_links	0.001069
rate_rush_links_unstalled	0.001066
rate_pop_outs	0.001573
rate_backwards_pops	0.000065
content_hash	dc69c7d52d7d3ae61f24ddec1b43b489ce596ab339fa8ebfff8f2489ba3d7aef
