# GENERATED - drawn shell motion audit; nothing written to disk.
commit	97fa412
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	529117
audit_ms	13923
shell_observations	9817361
links	8141461
terminal_links	1619689
terminal_links_rushed	69836
terminal_links_rushed_timed	14323
terminal_links_static	54875
terminal_links_instant	638
hover_links	4164
rush_links	4029
rush_links_timed	4029
links_static	0
links_instant	0
seam_jumps	129
pop_outs	56025
pop_ins	42216
pops_paired_forward	5733
pops_paired_backwards	3096
seam_jump_max	3.16
link_speed:0.0-0.5	1267
link_speed:0.5-1.0	2897
link_speed:1.0-1.5	19114
link_speed:1.5-1.8	151188
link_speed:1.8-2.2	7844923
link_speed:2.2-2.5	102681
link_speed:2.5-3.0	15303
link_speed:3.0+	4088
rate_links_steady	0.963577
rate_hover_links	0.000511
rate_rush_links	0.000495
rate_pop_outs	0.005707
rate_backwards_pops	0.000315
content_hash	ad8c4637145c5ef79df36e448d11c6ce05e909a853336efd49429adb52d4fbda
