# GENERATED - drawn shell motion audit; nothing written to disk.
commit	a0ade53
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	578407
audit_ms	12998
shell_observations	9817361
links	8163583
terminal_links	1621638
terminal_links_rushed	69287
terminal_links_rushed_timed	12981
terminal_links_static	55459
terminal_links_instant	847
hover_links	3563
rush_links	7433
rush_links_timed	1492
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	31954
pop_ins	31130
pops_paired_forward	3230
pops_paired_backwards	1366
seam_jump_max	0.00
link_speed:0.0-0.5	656
link_speed:0.5-1.0	2907
link_speed:1.0-1.5	19155
link_speed:1.5-1.8	150915
link_speed:1.8-2.2	7891276
link_speed:2.2-2.5	80711
link_speed:2.5-3.0	10509
link_speed:3.0+	7454
rate_links_steady	0.966644
rate_hover_links	0.000436
rate_rush_links	0.000911
rate_pop_outs	0.003255
rate_backwards_pops	0.000139
content_hash	4a163a6cdcb94ee079190e329ffb7d1f44555ef9d0831649ffb3bad56e6d4d71
