# GENERATED - drawn shell motion audit; nothing written to disk.
commit	a3cbd20
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	387842
audit_ms	10451
shell_observations	9817361
links	8167872
terminal_links	1633860
terminal_links_rushed	69831
terminal_links_rushed_timed	13565
terminal_links_static	55425
terminal_links_instant	841
hover_links	4524
rush_links	7969
rush_links_timed	1945
links_static	6021
links_instant	3
seam_jumps	0
pop_outs	15443
pop_ins	18868
pops_paired_forward	1263
pops_paired_backwards	633
links_stalled	19671
links_stalled_steady	12689
links_stalled_steady_by_cadence	494
hover_links_stalled	1594
links_after_stall	19508
links_after_stall_steady	16735
rush_links_after_stall	47
hover_links_after_stall	265
seam_jump_max	0.00
link_speed:0.0-0.5	1352
link_speed:0.5-1.0	3172
link_speed:1.0-1.5	21053
link_speed:1.5-1.8	156372
link_speed:1.8-2.2	7898484
link_speed:2.2-2.5	61883
link_speed:2.5-3.0	17571
link_speed:3.0+	7985
rate_links_steady	0.967019
rate_links_steady_unstalled	0.967796
rate_hover_links	0.000554
rate_hover_links_unstalled	0.000360
rate_rush_links	0.000976
rate_rush_links_unstalled	0.000972
rate_pop_outs	0.001573
rate_backwards_pops	0.000064
content_hash	9dbd5bc25829c169ca6c6c6e7ccd6ea37c726d8709d8a4c42938e51762f9503f
