# GENERATED - drawn shell motion audit; nothing written to disk.
commit	a74033a
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	366650
audit_ms	13952
shell_observations	9817361
links	8142276
terminal_links	1612338
terminal_links_rushed	76597
terminal_links_rushed_timed	21286
terminal_links_static	54684
terminal_links_instant	627
hover_links	3562
rush_links	4860
rush_links_timed	3606
links_static	1239
links_instant	15
seam_jumps	128
pop_outs	62561
pop_ins	58593
pops_paired_forward	9443
pops_paired_backwards	5588
seam_jump_max	3.16
link_speed:0.0-0.5	1052
link_speed:0.5-1.0	2510
link_speed:1.0-1.5	17749
link_speed:1.5-1.8	145591
link_speed:1.8-2.2	7852077
link_speed:2.2-2.5	102959
link_speed:2.5-3.0	15420
link_speed:3.0+	4918
rate_links_steady	0.964359
rate_hover_links	0.000437
rate_rush_links	0.000597
rate_pop_outs	0.006372
rate_backwards_pops	0.000569
content_hash	28846611abd931ac623a90de1260d0ebeebd793523af84110a877d7135ee4010
