# GENERATED - drawn shell motion audit; nothing written to disk.
commit	a7f8196
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	411429
audit_ms	12646
shell_observations	9817361
links	8167934
terminal_links	1633887
terminal_links_rushed	69832
terminal_links_rushed_timed	13564
terminal_links_static	55427
terminal_links_instant	841
hover_links	4529
rush_links	7888
rush_links_timed	1864
links_static	6021
links_instant	3
seam_jumps	0
pop_outs	15354
pop_ins	18811
pops_paired_forward	1226
pops_paired_backwards	630
links_stalled	19676
links_stalled_steady	12693
links_stalled_steady_by_cadence	494
hover_links_stalled	1590
links_after_stall	19515
links_after_stall_steady	16742
rush_links_after_stall	47
hover_links_after_stall	262
seam_jump_max	0.00
link_speed:0.0-0.5	1353
link_speed:0.5-1.0	3176
link_speed:1.0-1.5	21178
link_speed:1.5-1.8	157173
link_speed:1.8-2.2	7906021
link_speed:2.2-2.5	54315
link_speed:2.5-3.0	16817
link_speed:3.0+	7901
rate_links_steady	0.967934
rate_links_steady_unstalled	0.968714
rate_hover_links	0.000554
rate_hover_links_unstalled	0.000361
rate_rush_links	0.000966
rate_rush_links_unstalled	0.000962
rate_pop_outs	0.001564
rate_backwards_pops	0.000064
content_hash	d83deeaef311cba1813d0f7c9efe908b1a5bb768f049cdb2558b86636e6f829e
