# GENERATED - drawn shell motion audit; nothing written to disk.
commit	ad2168d
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	352516
audit_ms	12862
shell_observations	9817361
links	8143470
terminal_links	1614645
terminal_links_rushed	79521
terminal_links_rushed_timed	24214
terminal_links_static	54680
terminal_links_instant	627
hover_links	3642
rush_links	4841
rush_links_timed	3587
links_static	1239
links_instant	15
seam_jumps	128
pop_outs	59060
pop_ins	57374
pops_paired_forward	9162
pops_paired_backwards	5514
seam_jump_max	3.16
link_speed:0.0-0.5	1071
link_speed:0.5-1.0	2571
link_speed:1.0-1.5	18514
link_speed:1.5-1.8	148980
link_speed:1.8-2.2	7849366
link_speed:2.2-2.5	102699
link_speed:2.5-3.0	15370
link_speed:3.0+	4899
rate_links_steady	0.963885
rate_hover_links	0.000447
rate_rush_links	0.000594
rate_pop_outs	0.006016
rate_backwards_pops	0.000562
content_hash	90d34e66f9c8e06f146f8e7fb2584c376ded02144e510eb9a0641b283a2fec5a
