# GENERATED - drawn shell motion audit; nothing written to disk.
commit	ae527fd
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	603807
audit_ms	18283
shell_observations	9817361
links	8165086
terminal_links	1633395
terminal_links_rushed	69699
terminal_links_rushed_timed	13232
terminal_links_static	55605
terminal_links_instant	862
hover_links	4544
rush_links	7321
rush_links_timed	1379
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	18694
pop_ins	21614
pops_paired_forward	1948
pops_paired_backwards	801
links_stalled	19619
links_stalled_steady	12691
links_stalled_steady_by_cadence	509
hover_links_stalled	1605
links_after_stall	19486
links_after_stall_steady	16698
rush_links_after_stall	47
hover_links_after_stall	271
seam_jump_max	0.00
link_speed:0.0-0.5	1341
link_speed:0.5-1.0	3203
link_speed:1.0-1.5	20337
link_speed:1.5-1.8	150974
link_speed:1.8-2.2	7894522
link_speed:2.2-2.5	77865
link_speed:2.5-3.0	9503
link_speed:3.0+	7341
rate_links_steady	0.966863
rate_links_steady_unstalled	0.967634
rate_hover_links	0.000557
rate_hover_links_unstalled	0.000361
rate_rush_links	0.000897
rate_rush_links_unstalled	0.000893
rate_pop_outs	0.001904
rate_backwards_pops	0.000082
content_hash	19246fb10738ef718d4df4b6b1336c848c0f4cc60f85a889416fe2d5e6ddc1ce
