# GENERATED - drawn shell motion audit; nothing written to disk.
commit	bdb9fc3
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	588403
audit_ms	12165
shell_observations	9817361
links	8163146
terminal_links	1626390
terminal_links_rushed	69537
terminal_links_rushed_timed	13188
terminal_links_static	55482
terminal_links_instant	867
hover_links	2448
rush_links	7476
rush_links_timed	1534
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	27639
pop_ins	24528
pops_paired_forward	3010
pops_paired_backwards	1224
seam_jump_max	0.00
link_speed:0.0-0.5	344
link_speed:0.5-1.0	2104
link_speed:1.0-1.5	18094
link_speed:1.5-1.8	151030
link_speed:1.8-2.2	7892210
link_speed:2.2-2.5	81105
link_speed:2.5-3.0	10763
link_speed:3.0+	7496
rate_links_steady	0.966810
rate_hover_links	0.000300
rate_rush_links	0.000916
rate_pop_outs	0.002815
rate_backwards_pops	0.000125
content_hash	3c581db597b35c33429fd522f1845dc06260abc08f82c1048152142a09347f1f
