# GENERATED - drawn shell motion audit; nothing written to disk.
commit	c860d9b
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	861626
audit_ms	16202
shell_observations	9817361
links	8163134
terminal_links	1625782
terminal_links_rushed	69472
terminal_links_rushed_timed	13163
terminal_links_static	55443
terminal_links_instant	866
hover_links	2451
rush_links	7476
rush_links_timed	1535
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	28259
pop_ins	26776
pops_paired_forward	3017
pops_paired_backwards	1230
seam_jump_max	0.00
link_speed:0.0-0.5	344
link_speed:0.5-1.0	2107
link_speed:1.0-1.5	18160
link_speed:1.5-1.8	151032
link_speed:1.8-2.2	7892166
link_speed:2.2-2.5	81069
link_speed:2.5-3.0	10760
link_speed:3.0+	7496
rate_links_steady	0.966806
rate_hover_links	0.000300
rate_rush_links	0.000916
rate_pop_outs	0.002878
rate_backwards_pops	0.000125
content_hash	d87c957aed4e5c239c9d0c293651d2abd6cd26b9ea2821a0de41764e903ca39e
