# GENERATED - drawn shell motion audit; nothing written to disk.
commit	ccc8ec3
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	516458
audit_ms	11146
shell_observations	9817361
links	8163596
terminal_links	1623465
terminal_links_rushed	82149
terminal_links_rushed_timed	13025
terminal_links_static	68240
terminal_links_instant	884
hover_links	3548
rush_links	7400
rush_links_timed	1459
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	30114
pop_ins	31110
pops_paired_forward	3210
pops_paired_backwards	1356
seam_jump_max	0.00
link_speed:0.0-0.5	650
link_speed:0.5-1.0	2898
link_speed:1.0-1.5	19095
link_speed:1.5-1.8	151139
link_speed:1.8-2.2	7892928
link_speed:2.2-2.5	79320
link_speed:2.5-3.0	10145
link_speed:3.0+	7421
rate_links_steady	0.966845
rate_hover_links	0.000435
rate_rush_links	0.000906
rate_pop_outs	0.003067
rate_backwards_pops	0.000138
content_hash	61e5a2a4377e08ca6e2328bef87876d2e0dae2ca3e4c3c968cd3dec92bf5bb33
