# GENERATED - drawn shell motion audit; nothing written to disk.
commit	ccc8ec3
input	sha256:9e4933bba5250c6852e6dd1265ed0c35cd98195d6ebfd5623e6b6b91c978fd3b
files	443
files_failed	0
build_ms	316589
audit_ms	6325
shell_observations	9817361
links	8163596
terminal_links	1623465
terminal_links_rushed	82149
hover_links	3548
rush_links	7400
seam_jumps	0
pop_outs	30114
pop_ins	31110
pops_paired_forward	3210
pops_paired_backwards	1356
seam_jump_max	0.00
link_speed:0.0-0.5	650
link_speed:0.5-1.0	2898
link_speed:1.0-1.5	19095
link_speed:1.5-1.8	151139
link_speed:1.8-2.2	7892928
link_speed:2.2-2.5	79320
link_speed:2.5-3.0	10145
link_speed:3.0+	7421
rate_links_steady	0.966845
rate_hover_links	0.000435
rate_rush_links	0.000906
rate_pop_outs	0.003067
rate_backwards_pops	0.000138
content_hash	307703b41e454f73013e92a7c5c637006d89546a36f39b0904fba585f305cef7
