# GENERATED - drawn shell motion audit; nothing written to disk.
commit	cecdd9d
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	554716
audit_ms	13682
shell_observations	9817361
links	8150656
terminal_links	1621688
terminal_links_rushed	68496
terminal_links_rushed_timed	12554
terminal_links_static	55324
terminal_links_instant	618
hover_links	3397
rush_links	4707
rush_links_timed	4707
links_static	0
links_instant	0
seam_jumps	0
pop_outs	44831
pop_ins	37078
pops_paired_forward	4609
pops_paired_backwards	2900
seam_jump_max	0.00
link_speed:0.0-0.5	543
link_speed:0.5-1.0	2854
link_speed:1.0-1.5	22262
link_speed:1.5-1.8	157550
link_speed:1.8-2.2	7834723
link_speed:2.2-2.5	108512
link_speed:2.5-3.0	19459
link_speed:3.0+	4753
rate_links_steady	0.961238
rate_hover_links	0.000417
rate_rush_links	0.000577
rate_pop_outs	0.004567
rate_backwards_pops	0.000295
content_hash	ff6851cb4b8df65db04f91058ec9e9ef4ad335ffbeace044aea0b95894b7435f
