# GENERATED - drawn shell motion audit; nothing written to disk.
commit	cee58aa
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	326690
audit_ms	6094
shell_observations	9817361
links	8163173
terminal_links	1625664
terminal_links_rushed	69418
terminal_links_rushed_timed	13130
terminal_links_static	55434
terminal_links_instant	854
hover_links	2446
rush_links	7483
rush_links_timed	1542
links_static	5937
links_instant	4
seam_jumps	0
pop_outs	28338
pop_ins	26820
pops_paired_forward	3054
pops_paired_backwards	1236
seam_jump_max	0.00
link_speed:0.0-0.5	339
link_speed:0.5-1.0	2107
link_speed:1.0-1.5	18143
link_speed:1.5-1.8	150848
link_speed:1.8-2.2	7892273
link_speed:2.2-2.5	81182
link_speed:2.5-3.0	10777
link_speed:3.0+	7504
rate_links_steady	0.966814
rate_hover_links	0.000300
rate_rush_links	0.000917
rate_pop_outs	0.002887
rate_backwards_pops	0.000126
content_hash	21a1e85feeff02500927dd781d78cba37771ac0f61db258bd23b982f847fcf3e
