# GENERATED - drawn shell motion audit; nothing written to disk.
commit	dfc7534
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	355223
audit_ms	6139
shell_observations	9817361
links	8165191
terminal_links	1627327
terminal_links_rushed	69745
terminal_links_rushed_timed	13248
terminal_links_static	55627
terminal_links_instant	870
hover_links	5303
rush_links	7484
rush_links_timed	1542
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	24657
pop_ins	22744
pops_paired_forward	2088
pops_paired_backwards	737
seam_jump_max	0.00
link_speed:0.0-0.5	1427
link_speed:0.5-1.0	3876
link_speed:1.0-1.5	26990
link_speed:1.5-1.8	162218
link_speed:1.8-2.2	7871786
link_speed:2.2-2.5	80667
link_speed:2.5-3.0	10723
link_speed:3.0+	7504
rate_links_steady	0.964066
rate_hover_links	0.000649
rate_rush_links	0.000917
rate_pop_outs	0.002512
rate_backwards_pops	0.000075
content_hash	cf6a3ab2815e64527a90185c318055814c8ae5e6505fd2a34382941c4144d193
