# GENERATED - drawn shell motion audit; nothing written to disk.
commit	e101787
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	671505
audit_ms	13959
shell_observations	9817361
links	8151255
terminal_links	1621869
terminal_links_rushed	68540
terminal_links_rushed_timed	12578
terminal_links_static	55347
terminal_links_instant	615
hover_links	3347
rush_links	4696
rush_links_timed	4696
links_static	0
links_instant	0
seam_jumps	0
pop_outs	44051
pop_ins	36803
pops_paired_forward	4571
pops_paired_backwards	2876
seam_jump_max	0.00
link_speed:0.0-0.5	538
link_speed:0.5-1.0	2809
link_speed:1.0-1.5	21585
link_speed:1.5-1.8	150505
link_speed:1.8-2.2	7843703
link_speed:2.2-2.5	107738
link_speed:2.5-3.0	19637
link_speed:3.0+	4740
rate_links_steady	0.962269
rate_hover_links	0.000411
rate_rush_links	0.000576
rate_pop_outs	0.004487
rate_backwards_pops	0.000293
content_hash	d64bb8ca0f0036da9b7e952d1f1bb623ab8c735d61187e6494ad0931fae98dc9
