# GENERATED - drawn shell motion audit; nothing written to disk.
commit	e2bbbfb
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	556329
audit_ms	13609
shell_observations	9817361
links	8149884
terminal_links	1621739
terminal_links_rushed	72139
terminal_links_rushed_timed	16205
terminal_links_static	55301
terminal_links_instant	633
hover_links	4158
rush_links	5536
rush_links_timed	5536
links_static	0
links_instant	0
seam_jumps	81
pop_outs	45552
pop_ins	37409
pops_paired_forward	4666
pops_paired_backwards	2924
seam_jump_max	4.24
link_speed:0.0-0.5	1107
link_speed:0.5-1.0	3051
link_speed:1.0-1.5	20859
link_speed:1.5-1.8	159090
link_speed:1.8-2.2	7839371
link_speed:2.2-2.5	102911
link_speed:2.5-3.0	17905
link_speed:3.0+	5590
rate_links_steady	0.961900
rate_hover_links	0.000510
rate_rush_links	0.000679
rate_pop_outs	0.004640
rate_backwards_pops	0.000298
content_hash	8a2cc0666090c3ffdaffdd7af3d27c0734a29515c47611883197778400932d0d
