# GENERATED - drawn shell motion audit; nothing written to disk.
commit	e46dd5e
input	sha256:81a840b9b207b6e7493b9fec9acddcad5c1a9016aaff48a67a903830d9c4cf8d
files	443
files_failed	0
build_ms	357607
audit_ms	10050
shell_observations	9817361
links	8165313
terminal_links	1633206
terminal_links_rushed	69690
terminal_links_rushed_timed	13226
terminal_links_static	55604
terminal_links_instant	860
hover_links	4559
rush_links	7324
rush_links_timed	1382
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	18656
pop_ins	21507
pops_paired_forward	1951
pops_paired_backwards	783
links_stalled	19786
links_stalled_steady	12489
links_stalled_steady_by_cadence	509
hover_links_stalled	1632
links_after_stall	19577
links_after_stall_steady	16508
rush_links_after_stall	48
hover_links_after_stall	290
seam_jump_max	0.00
link_speed:0.0-0.5	1348
link_speed:0.5-1.0	3211
link_speed:1.0-1.5	21257
link_speed:1.5-1.8	151488
link_speed:1.8-2.2	7893361
link_speed:2.2-2.5	77805
link_speed:2.5-3.0	9499
link_speed:3.0+	7344
rate_links_steady	0.966694
rate_links_steady_unstalled	0.967509
rate_hover_links	0.000558
rate_hover_links_unstalled	0.000359
rate_rush_links	0.000897
rate_rush_links_unstalled	0.000893
rate_pop_outs	0.001900
rate_backwards_pops	0.000080
content_hash	cf87bfd92234d1fe8ef78455196abca330bcbdf072795813b776063c6719611b
