# GENERATED - drawn shell motion audit; nothing written to disk.
commit	ee502e9
input	sha256:b82b54a112fbd7ac14f4447d0bd915b939b85bec68beb2a4459f07c45f083d91
files	443
files_failed	0
build_ms	440020
audit_ms	13477
shell_observations	9817361
links	8164943
terminal_links	1633352
terminal_links_rushed	69708
terminal_links_rushed_timed	13237
terminal_links_static	55609
terminal_links_instant	862
hover_links	4552
rush_links	7327
rush_links_timed	1385
links_static	5938
links_instant	4
seam_jumps	0
pop_outs	18880
pop_ins	21759
pops_paired_forward	1970
pops_paired_backwards	832
links_stalled	19563
links_stalled_steady	12639
links_stalled_steady_by_cadence	521
hover_links_stalled	1612
links_after_stall	19446
links_after_stall_steady	16596
rush_links_after_stall	48
hover_links_after_stall	271
seam_jump_max	0.00
link_speed:0.0-0.5	1342
link_speed:0.5-1.0	3210
link_speed:1.0-1.5	20286
link_speed:1.5-1.8	151347
link_speed:1.8-2.2	7893841
link_speed:2.2-2.5	78036
link_speed:2.5-3.0	9534
link_speed:3.0+	7347
rate_links_steady	0.966797
rate_links_steady_unstalled	0.967567
rate_hover_links	0.000558
rate_hover_links_unstalled	0.000361
rate_rush_links	0.000897
rate_rush_links_unstalled	0.000894
rate_pop_outs	0.001923
rate_backwards_pops	0.000085
content_hash	84c47600c03d822b120946116f872c01eb209c1be3d97d7450674654226b44ca
