# GENERATED - drawn shell motion audit; nothing written to disk.
commit	ee502e9
input	sha256:70232047e6a1d5a2ec7528b50f23c035a66d28d1ccdcb8c2077f759569fed231
files	20
files_failed	0
build_ms	39322
audit_ms	1485
shell_observations	259723
links	204098
terminal_links	54992
terminal_links_rushed	1698
terminal_links_rushed_timed	81
terminal_links_static	1613
terminal_links_instant	4
hover_links	171
rush_links	13
rush_links_timed	13
links_static	0
links_instant	0
seam_jumps	0
pop_outs	599
pop_ins	632
pops_paired_forward	60
pops_paired_backwards	27
links_stalled	731
links_stalled_steady	439
links_stalled_steady_by_cadence	20
hover_links_stalled	98
links_after_stall	778
links_after_stall_steady	665
rush_links_after_stall	1
hover_links_after_stall	12
seam_jump_max	0.00
link_speed:0.0-0.5	102
link_speed:0.5-1.0	69
link_speed:1.0-1.5	661
link_speed:1.5-1.8	4379
link_speed:1.8-2.2	196224
link_speed:2.2-2.5	2407
link_speed:2.5-3.0	243
link_speed:3.0+	13
rate_links_steady	0.961420
rate_links_steady_unstalled	0.962718
rate_hover_links	0.000838
rate_hover_links_unstalled	0.000359
rate_rush_links	0.000064
rate_rush_links_unstalled	0.000059
rate_pop_outs	0.002306
rate_backwards_pops	0.000104
content_hash	44dd3ea89cc397f467447d8f9bf5577cac225914f410d1540b2ee3345f9eed97
