# GENERATED - drawn shell motion audit; nothing written to disk.
commit	f970ce7
input	sha256:9e4933bba5250c6852e6dd1265ed0c35cd98195d6ebfd5623e6b6b91c978fd3b
files	443
files_failed	0
build_ms	381120
audit_ms	5534
shell_observations	9817361
links	8163583
terminal_links	1621630
terminal_links_rushed	69287
hover_links	3565
rush_links	7433
seam_jumps	0
pop_outs	31962
pop_ins	31130
pops_paired_forward	3252
pops_paired_backwards	1368
seam_jump_max	0.00
link_speed:0.0-0.5	656
link_speed:0.5-1.0	2909
link_speed:1.0-1.5	19160
link_speed:1.5-1.8	150915
link_speed:1.8-2.2	7891272
link_speed:2.2-2.5	80711
link_speed:2.5-3.0	10506
link_speed:3.0+	7454
rate_links_steady	0.966643
rate_hover_links	0.000437
rate_rush_links	0.000911
rate_pop_outs	0.003256
rate_backwards_pops	0.000139
content_hash	f2d1320146646aa99b7d0de4b110beaff6e966d460ca3afa09b306e59d5f76ed
