progress: 10/20
progress: 20/20
# GENERATED - drawn shell motion audit; nothing written to disk.
commit	fb4bd12
input	sha256:70232047e6a1d5a2ec7528b50f23c035a66d28d1ccdcb8c2077f759569fed231
files	20
files_failed	0
build_ms	17901
audit_ms	642
shell_observations	259723
links	204091
terminal_links	54815
terminal_links_rushed	1700
terminal_links_rushed_timed	82
terminal_links_static	1614
terminal_links_instant	4
hover_links	191
rush_links	20
rush_links_timed	20
links_static	0
links_instant	0
seam_jumps	0
pop_outs	783
pop_ins	689
pops_paired_forward	63
pops_paired_backwards	26
links_stalled	733
links_stalled_steady	408
links_stalled_steady_by_cadence	20
hover_links_stalled	110
seam_jump_max	0.00
link_speed:0.0-0.5	111
link_speed:0.5-1.0	80
link_speed:1.0-1.5	720
link_speed:1.5-1.8	4412
link_speed:1.8-2.2	195940
link_speed:2.2-2.5	2532
link_speed:2.5-3.0	276
link_speed:3.0+	20
rate_links_steady	0.960062
rate_links_steady_unstalled	0.961516
rate_hover_links	0.000936
rate_hover_links_unstalled	0.000398
rate_rush_links	0.000098
rate_pop_outs	0.003015
rate_backwards_pops	0.000100
content_hash	c1695643437baaca93e79f8ac1a4e51cbf7a6a19b04c08b51716634a57698263
